代码,名称,买入价(元),卖出价(元),单次收益(元),单次收益率(%),交易数量(股),买入时间,卖出时间
'002325,洪涛股份,1.79,1.83,107118,2.13%,2805600,20240311,20240312
'002256,兆新股份,2.39,2.22,-390071,-7.21%,2264400,20240307,20240308
'600565,迪马股份,1.44,1.35,-366669,-6.34%,4012900,20240305,20240306
'002456,欧菲光,8.36,9.19,516748,9.82%,629400,20240301,20240304
'600188,兖矿能源,25.12,25.72,117586,2.29%,204700,20240220,20240221
'600636,国新文化,10.56,8.8,-1035182,-16.75%,585100,20240205,20240206
'003007,直真科技,35.52,40.28,724660,13.29%,153500,20240201,20240202
'000037,深南电A,10.72,12.38,726783,15.37%,441000,20240130,20240131
'001217,华尔泰,16.71,14.47,-737395,-13.49%,327000,20240124,20240125
'601096,宏盛华源,7,6.22,-691652,-11.23%,879500,20240119,20240122
'000532,华金资本,15,16.62,594683,10.69%,370800,20240117,20240118
'002584,西陇科学,10.48,10.83,174412,3.24%,514100,20240112,20240116
'000821,京山轻机,16.24,16.69,140039,2.67%,323100,20240110,20240111
'002786,银宝山新,16.41,18.12,490600,10.31%,289900,20240105,20240109
'002397,梦洁股份,4.1,4.08,-28112,-0.59%,1167200,20240102,20240103
'603779,威龙股份,13,10.45,-1174003,-19.70%,458400,20231228,20240102
'002682,龙洲股份,7.1,8.49,970893,19.46%,702600,20231226,20231227
'000705,浙江震元,10.06,9.6,-244299,-4.67%,520100,20231221,20231222
'002313,日海智能,12.98,12.82,-70631,-1.33%,408600,20231219,20231220
'603803,瑞斯康达,10.6,9.3,-747534,-12.35%,570800,20231215,20231218
'600159,大龙地产,4.18,4.13,-79405,-1.29%,1466600,20231213,20231214
'600358,国旅联合,5.8,6.07,266875,4.55%,1010900,20231211,20231212
'002858,力盛体育,20.51,18.91,-502472,-7.89%,310300,20231207,20231208
'600327,大东方,6,6,-6372,-0.10%,1062000,20231206,20231207
'000851,高鸿股份,7.1,7.28,151359,2.43%,876100,20231204,20231205
'000609,中迪投资,7.5,7.23,-238836,-3.70%,861300,20231130,20231201
'000851,高鸿股份,6.96,6.86,-100750,-1.54%,942600,20231128,20231129
'000536,华映科技,4.33,4.05,-460672,-6.56%,1621400,20231124,20231127
'600792,云煤能源,5.76,5.64,-156597,-2.18%,1246100,20231122,20231123
'000572,海马汽车,6.28,6.41,138556,1.97%,1120800,20231120,20231121
'002658,雪迪龙,8.57,8.5,-65083,-0.92%,828900,20231116,20231117
'002413,雷科防务,6.7,6.41,-328888,-4.42%,1109300,20231114,20231115
'600792,云煤能源,4.65,5.33,942009,14.51%,1395900,20231110,20231113
'002122,汇洲智能,4.43,4.43,-6497,-0.10%,1466700,20231107,20231108
'600006,东风汽车,6.69,6.55,-145559,-2.19%,993000,20231103,20231106
'600239,云南城投,2.94,2.93,-29350,-0.44%,2269500,20231101,20231102
'002657,中科金财,19.55,17.8,-663443,-9.04%,375200,20231030,20231031
'600186,莲花健康,7.05,6.63,-472609,-6.05%,1107500,20231026,20231027
'002115,三维通信,7.81,8.85,910838,13.20%,883100,20231024,20231025
'002077,大港股份,16.92,16.55,-161269,-2.28%,417100,20231020,20231023
'002640,跨境通,4.03,3.92,-205390,-2.83%,1802500,20231018,20231019
'603123,翠微股份,15.91,14.95,-474235,-6.13%,486300,20231016,20231017
'603229,奥翔药业,15.6,17.19,708887,10.08%,450600,20231012,20231013
'000766,通化金马,13.38,12.17,-706711,-9.13%,578100,20231009,20231011
'000536,华映科技,4.05,4.76,1147573,17.41%,1626800,20230927,20230928
'002369,卓翼科技,5.6,5.83,253669,4.00%,1131300,20230922,20230926
'000536,华映科技,3.65,3.72,113017,1.82%,1704700,20230920,20230921
'601127,赛力斯,47.89,52.71,563159,9.95%,118100,20230915,20230919
'600202,哈空调,6.08,6.18,86018,1.54%,916600,20230913,20230914
'002465,海格通信,12.27,11.65,-302508,-5.15%,478800,20230911,20230912
'000560,我爱我家,3.29,3.16,-247898,-4.05%,1861200,20230907,20230908
'000560,我爱我家,3.36,3.3,-117601,-1.88%,1857400,20230905,20230906
'000820,神雾节能,4.31,4.11,-310323,-4.74%,1520000,20230901,20230904
'300958,建工修复,27.43,24.43,-781707,-11.03%,258400,20230829,20230830
'300948,冠中生态,18.98,22.8,1222626,20.01%,321900,20230828,20230829
'600796,钱江生化,6.15,6.11,-46166,-0.75%,1001000,20230824,20230825
'002528,英飞拓,9.74,9.39,-235925,-3.69%,656300,20230822,20230823
'001299,美能能源,19.8,21,359333,5.95%,304700,20230821,20230822
'600683,京投发展,7.08,7.8,551525,10.06%,774200,20230817,20230818
'000006,深振业A,5.3,5.64,325382,6.31%,972900,20230816,20230817
'601136,首创证券,23.73,25.11,278501,5.71%,205500,20230815,20230816
'603536,惠发食品,9.49,8.61,-490012,-9.36%,551300,20230811,20230814
'002177,御银股份,5.09,5.75,611551,12.85%,934500,20230810,20230811
'600127,金健米业,9.33,9.12,-114408,-2.35%,522000,20230808,20230809
'002693,双成药业,6.73,6.57,-123641,-2.48%,742100,20230804,20230807
'002256,兆新股份,2.7,2.79,155187,3.23%,1779000,20230802,20230803
'000980,众泰汽车,4.4,4.88,471771,10.80%,992700,20230801,20230802
'600280,中央商场,5.14,5.69,418353,10.59%,768400,20230731,20230801
'601881,中国银河,12.83,12.88,11396,0.29%,306900,20230726,20230727
'002559,亚威股份,9.65,9.53,-53586,-1.34%,413600,20230721,20230725
'002251,步步高,5.19,5.78,403973,11.26%,691300,20230719,20230720
'000897,津滨发展,2.2,2.28,122456,3.53%,1575200,20230717,20230718
'002490,山东墨龙,4.88,4.7,-136342,-3.78%,738000,20230713,20230714
'002496,辉丰股份,2.83,3.22,433187,13.67%,1119700,20230711,20230712
'603108,润达医疗,19.78,16.55,-622194,-16.41%,191600,20230706,20230710
'601127,赛力斯,42,46.21,341934,9.91%,82100,20230704,20230705
'300378,鼎捷软件,33.7,35.6,180706,5.53%,96900,20230630,20230703
'000961,中南建设,1.52,1.43,-209225,-6.02%,2287800,20230628,20230629
'600892,大晟文化,6.62,7.29,316524,10.01%,477500,20230621,20230627
'600246,万通发展,6.73,6.73,-3164,-0.10%,470100,20230619,20230620
'600415,小商品城,10.33,10.32,-6237,-0.20%,306900,20230615,20230616
'603083,剑桥科技,71,71.2,5734,0.18%,44500,20230613,20230614
'600839,四川长虹,4.84,5.1,158359,5.27%,621100,20230609,20230612
'000989,九芝堂,13.69,15.18,292383,10.77%,198200,20230606,20230608
'002843,泰嘉股份,20,22.39,287264,11.84%,121300,20230602,20230605
'603618,杭电股份,7.32,6.9,-150306,-5.83%,352000,20230531,20230601
'688088,虹软科技,44,44.59,31533,1.24%,57800,20230529,20230530
'002334,英威腾,13.59,12.96,-126437,-4.73%,196600,20230525,20230526
'000600,建投能源,7.38,7.06,-123921,-4.43%,378800,20230523,20230524
'002983,芯瑞达,26.65,27.9,122608,4.59%,100300,20230522,20230523
'600425,青松建化,5.3,5.17,-67155,-2.55%,496700,20230518,20230519
'600503,华丽家族,3,3.25,208310,8.23%,844000,20230517,20230518
'002423,中粮资本,9.65,9.22,-120771,-4.55%,274900,20230515,20230516
'002519,银河电子,5.93,5.62,-149167,-5.32%,472500,20230511,20230512
'600150,中国船舶,29,27.25,-182924,-6.13%,102900,20230509,20230510
'600880,博瑞传播,6.83,6.77,-29472,-0.98%,441300,20230504,20230505
'601068,中铝国际,6.73,6.85,49856,1.68%,440500,20230428,20230504
'300615,欣天科技,17.48,17.13,-63602,-2.10%,173200,20230426,20230427
'600062,华润双鹤,20.8,19.78,-159333,-5.00%,153200,20230424,20230425
'601599,浙文影业,3.59,3.61,14490,0.46%,883800,20230420,20230421
'600060,海信视像,21.73,21.62,-19339,-0.61%,146900,20230418,20230419
'002159,三特索道,18.19,16.61,-307104,-8.78%,192300,20230414,20230417
'603000,人民网,25,24.88,-20389,-0.58%,140700,20230412,20230413
'002602,世纪华通,6.85,6.51,-187577,-5.06%,541200,20230410,20230411
'001337,四川黄金,30.34,28.6,-229444,-5.83%,129700,20230406,20230407
'002236,大华股份,22.82,25.23,372357,10.45%,156100,20230403,20230404
'605277,新亚电子,20.8,19.37,-266895,-6.97%,184100,20230330,20230331
'002858,力盛体育,18.66,20,253108,7.07%,191700,20230328,20230329
'002636,金安国纪,9.69,10.1,141841,4.13%,354600,20230322,20230324
'002351,漫步者,12.21,12.93,188128,5.79%,266000,20230320,20230321
'600895,张江高科,14.31,15.77,297731,10.09%,206100,20230316,20230317
'300225,金力泰,7.2,7.36,61270,2.12%,401300,20230315,20230316
'603660,苏州科达,7.36,7.31,-22677,-0.78%,395600,20230313,20230314
'002115,三维通信,6.79,6.51,-128302,-4.22%,447700,20230309,20230310
'603108,润达医疗,13.31,13.25,-16822,-0.55%,229600,20230307,20230308
'002886,沃特股份,21,21.95,129403,4.42%,139400,20230303,20230306
'000989,九芝堂,11.1,11,-29577,-1.00%,266400,20230301,20230302
'601566,九牧王,9.68,11.44,452466,18.06%,258700,20230227,20230228
'000716,黑芝麻,9.69,9.21,-133196,-5.05%,272200,20230223,20230224
'600624,复旦复华,6.49,6.68,72485,2.82%,395300,20230222,20230223
'002877,智能自控,12.17,12.84,131466,5.40%,200000,20230220,20230221
'002168,惠程科技,4.7,5.66,410947,20.31%,430500,20230216,20230217
'000599,青岛双星,5.15,4.77,-163414,-7.47%,424600,20230214,20230215
'002400,省广集团,5.34,5.17,-74185,-3.28%,423400,20230210,20230213
'002195,二三四五,3.26,3.11,-111445,-4.70%,727700,20230208,20230209
'002642,荣联科技,9.5,9.43,-20005,-0.84%,251800,20230206,20230207
'601236,红塔证券,9.87,8.97,-242664,-9.21%,266900,20230202,20230203
'002031,巨轮智能,3.65,3.8,101503,4.01%,694100,20230131,20230201
'601699,潞安环能,20.51,19.69,-108094,-4.09%,128700,20230120,20230130
'002161,远望谷,5.79,5.8,1915,0.07%,455800,20230118,20230119
'600095,湘财股份,9.24,10.61,338573,14.71%,249000,20230116,20230117
'002762,金发拉比,10.5,11.89,267007,13.12%,193700,20230112,20230113
'000615,奥园美谷,8.57,9.43,183684,9.92%,215900,20230110,20230111
'000615,奥园美谷,8.7,8.74,6626,0.36%,211900,20230106,20230109
'002357,富临运业,8.18,8.19,408,0.02%,225300,20230103,20230104
'000698,沈阳化工,5.9,5.54,-121791,-6.20%,333100,20221229,20221230
'300051,三五互联,8.78,8.15,-154024,-7.27%,241300,20221227,20221228
'600996,贵广网络,12.7,13.31,95077,4.70%,159300,20221226,20221227
'002277,友阿股份,4.2,4.08,-61633,-2.95%,496600,20221222,20221223
'002172,澳洋健康,4.5,4.41,-44704,-2.10%,473400,20221220,20221221
'000523,广州浪奇,3.9,3.97,35481,1.69%,537200,20221219,20221220
'002528,英飞拓,7.08,6.7,-121067,-5.46%,313000,20221215,20221216
'000716,黑芝麻,5.49,6.19,248655,12.64%,358300,20221213,20221214
'002420,毅昌科技,10.3,12.07,286791,17.07%,163100,20221209,20221212
'002800,天顺股份,22.98,25.31,153070,10.03%,66400,20221207,20221208
'002348,高乐股份,4.02,3.73,-120430,-7.31%,409900,20221205,20221206
'600130,波导股份,4.44,4.69,86298,5.53%,351700,20221201,20221202
'002603,以岭药业,43.12,44.9,60397,4.02%,34800,20221129,20221130
'000620,新华联,3.08,3.16,36555,2.49%,475600,20221125,20221128
'601800,中国交建,7.97,8.28,53448,3.79%,177100,20221123,20221124
'002323,雅博股份,4.13,3.85,-104170,-6.87%,366900,20221121,20221122
'002803,吉宏股份,16.3,15.22,-109111,-6.72%,99600,20221117,20221118
'000756,新华制药,24.6,24.2,-28513,-1.72%,67200,20221115,20221116
'000411,英特集团,14,13.38,-78305,-4.52%,123600,20221111,20221114
'300941,创识科技,24.5,23.24,-95625,-5.24%,74500,20221109,20221110
'601975,招商南油,5.44,4.95,-182880,-9.10%,369400,20221107,20221108
'002607,中公教育,4.75,5.22,179171,9.78%,385400,20221103,20221104
'002528,英飞拓,4.87,4.93,20475,1.13%,371700,20221101,20221102
'000727,冠捷科技,2.12,2.06,-54607,-2.93%,879700,20221028,20221031
'002334,英威腾,9.8,9.46,-68965,-3.57%,197300,20221026,20221027
'002638,勤上股份,2.59,2.35,-199673,-9.36%,823700,20221024,20221025
'600082,海泰发展,4.28,4.08,-106842,-4.77%,523400,20221020,20221021
'002246,北化股份,11.17,10.45,-154017,-6.54%,210800,20221018,20221019
'601975,招商南油,5.15,5.83,277221,13.09%,411100,20221017,20221018
'600536,中国软件,49.55,54.85,202514,10.59%,38600,20221013,20221014
'002490,山东墨龙,5.49,5.44,-19536,-1.01%,352300,20221011,20221012
'002197,证通电子,10.15,10.5,62620,3.34%,184400,20220930,20221010
'002622,融钰集团,4.43,4.32,-49249,-2.58%,430700,20220928,20220929
'000428,华天酒店,4.79,5.5,246355,14.71%,349600,20220927,20220928
'000948,南天信息,16.17,15.82,-38750,-2.26%,105900,20220923,20220926
'000560,我爱我家,3.16,3.47,151525,9.70%,494200,20220921,20220922
'002560,通达股份,8.21,8,-42607,-2.66%,195400,20220919,20220920
'002094,青岛金王,4.26,4.92,213872,15.38%,326400,20220914,20220916
'002148,北纬科技,7.91,7.4,-97347,-6.54%,188100,20220909,20220913
'002630,华西能源,3.11,3.55,183137,14.03%,419500,20220907,20220908
'002292,奥飞娱乐,5.45,5.5,10487,0.82%,235600,20220905,20220906
'000670,盈方微,10.36,11.5,125408,10.89%,111100,20220902,20220905
'002628,成都路桥,3.96,4.57,155029,15.29%,256000,20220901,20220902
'600537,亿晶光电,7.48,6.34,-183575,-15.33%,160100,20220830,20220831
'000686,东北证券,7.81,7.26,-92026,-7.14%,165100,20220826,20220829
'000040,东旭蓝天,6.22,5.96,-57594,-4.28%,216500,20220824,20220825
'000591,太阳能,9.32,9.17,-23404,-1.71%,147000,20220822,20220823
'000728,国元证券,7.66,7.62,-8573,-0.62%,180000,20220818,20220819
'002329,皇氏集团,8.05,9.38,194312,16.41%,147100,20220816,20220817
'002036,联创电子,18.92,18.22,-46696,-3.80%,65000,20220812,20220815
'002665,首航高科,5.16,5.33,38082,3.19%,231200,20220810,20220811
'000035,中国天楹,7.03,7.35,50819,4.45%,162500,20220808,20220809
'000691,亚太实业,4.7,4.35,-93182,-7.54%,262900,20220804,20220805
'601975,招商南油,3.93,3.55,-133662,-9.76%,348400,20220802,20220803
'002514,宝馨科技,15.69,17.27,123956,9.96%,79300,20220729,20220801
'002328,新朋股份,7.13,7.3,27780,2.28%,170700,20220727,20220728
'600509,天富能源,5.71,5.72,913,0.07%,213100,20220725,20220726
'002547,春兴精工,4.61,7.39,457041,60.14%,164800,20220714,20220722
'000709,河钢股份,2.86,3.2,80078,11.78%,237700,20220712,20220713
'002256,兆新股份,3.47,3.18,-60527,-8.45%,206400,20220708,20220711
'000755,山西路桥,4.39,5.1,102448,16.06%,145300,20220707,20220708
'002124,天邦食品,7.59,7.34,-22368,-3.39%,86900,20220705,20220706
'002169,智光电气,8.29,8.45,11854,1.83%,78200,20220701,20220704
'002797,第一创业,6.59,6.41,-18869,-2.83%,101200,20220629,20220630
'002108,沧州明珠,6.62,6.66,3342,0.50%,100200,20220627,20220628
'600121,郑州煤电,7.23,6.99,-23470,-3.42%,95000,20220623,20220624
'600021,上海电力,10.76,10.19,-39172,-5.39%,67500,20220621,20220622
'002056,横店东磁,26.28,25.7,-17085,-2.30%,28200,20220617,20220620
'002263,大东南,3.45,3.26,-44132,-5.60%,228300,20220615,20220616
'601718,际华集团,3.35,3.19,-40334,-4.87%,247100,20220613,20220614
'600868,梅雁吉祥,2.99,2.88,-32495,-3.78%,287800,20220609,20220610
'002466,天齐锂业,105,109.85,36983,4.51%,7800,20220607,20220608
'600297,广汇汽车,2.77,2.72,-15983,-1.90%,303100,20220602,20220606
'601975,招商南油,3.28,3.52,56462,7.21%,238700,20220601,20220602
'600653,申华控股,2.32,2.26,-21597,-2.68%,346800,20220530,20220531
'000680,山推股份,5,5.17,25687,3.30%,155800,20220527,20220530
'000517,荣安地产,3.71,3.54,-38223,-4.68%,220200,20220525,20220526
'600653,申华控股,2.55,2.11,-171449,-17.34%,387700,20220524,20220525
'600082,海泰发展,4.15,3.99,-40679,-3.95%,248000,20220520,20220523
'600267,海正药业,13.5,14.14,45574,4.64%,72800,20220518,20220519
